Company,Date,Open,High,Low,Close,Adj Close,Volume
AAPL,1/3/2012,58.485714,58.92857,58.42857,58.747143,51.269413,75555200
AAPL,1/4/2012,58.57143,59.240002,58.468571,59.062859,51.544937,65005500
AAPL,1/5/2012,59.278572,59.792858,58.952858,59.718571,52.117188,67817400
AAPL,1/6/2012,59.967144,60.392857,59.888573,60.342857,52.662014,79573200
AAPL,1/9/2012,60.785713,61.107143,60.192856,60.247143,52.578468,98506100
AAPL,1/10/2012,60.844284,60.857143,60.214287,60.462856,52.766739,64549100
AAPL,1/11/2012,60.382858,60.407143,59.901428,60.364285,52.68071,53771200
AAPL,1/12/2012,60.325714,60.414288,59.82143,60.19857,52.536091,53146800
AAPL,1/13/2012,59.957142,60.064285,59.808571,59.972858,52.339104,56505400
AAPL,1/17/2012,60.599998,60.855713,60.422855,60.671429,52.94875,60724300
AAPL,1/18/2012,60.994286,61.352856,60.900002,61.30143,53.498566,69197800
AAPL,1/19/2012,61.450001,61.624287,60.93,61.107143,53.329014,65434600
AAPL,1/20/2012,61.07,61.07143,59.964287,60.042858,52.400188,103493600
AAPL,1/23/2012,60.381428,61.207142,60.328571,61.058571,53.286617,76515600
AAPL,1/24/2012,60.728573,60.728573,59.935715,60.058571,52.41391,136909500
AAPL,1/25/2012,64.919998,64.921425,63.389999,63.808571,55.686584,239578500
AAPL,1/26/2012,64.05143,64.112854,63.305714,63.51857,55.433498,80996300
AAPL,1/27/2012,63.477142,64.068573,63.395714,63.897144,55.763882,74927300
AAPL,1/30/2012,63.672855,64.842857,63.627144,64.715714,56.478256,94835300
AAPL,1/31/2012,65.084282,65.46286,64.724289,65.211426,56.910862,97920900
AAPL,2/1/2012,65.487144,65.57,65.078575,65.169998,56.874741,67511500
AAPL,2/2/2012,65.128571,65.309998,64.854286,65.017143,56.741318,46699100
AAPL,2/3/2012,65.328575,65.714287,65.080002,65.668571,57.309841,71649900
AAPL,2/6/2012,65.482857,66.425713,65.457146,66.281425,57.844673,62353200
AAPL,2/7/2012,66.464287,67.10714,66.368568,66.975716,58.450588,79055900
AAPL,2/8/2012,67.214287,68.112854,67.099998,68.097145,59.429268,101972500
AAPL,2/9/2012,68.68,70.964287,68.651428,70.452858,61.485157,221053700
AAPL,2/10/2012,70.137146,71.08857,69.792854,70.488571,61.5163,157825500
AAPL,2/13/2012,71.361427,71.975716,71.012856,71.800003,62.660805,129304000
AAPL,2/14/2012,72.094284,72.794289,71.714287,72.779999,63.516068,115099600
