Date,Open,High,Low,Close,Adj Close,Volume
2007-07-02,67.323334,71.800003,66.356667,71.419998,71.419998,56580300
2007-07-03,71.826668,72.296669,68.800003,69.313332,69.313332,26506800
2007-07-05,72.153336,72.433334,69.669998,72.063332,72.063332,39750300
2007-07-06,71.589996,72.666664,70.866669,71.783333,71.783333,24100500
2007-07-09,72.106667,72.580002,71.276665,71.466667,71.466667,16751400
2007-07-10,71.040001,71.239998,69.566666,69.750000,69.750000,20964000
2007-07-11,69.949997,70.599998,68.769997,70.356667,70.356667,22311000
2007-07-12,70.776665,72.313332,70.703331,71.823334,71.823334,19463100
2007-07-13,72.000000,76.056664,71.533333,75.839996,75.839996,40518300
2007-07-16,76.296669,78.166664,75.440002,75.513336,75.513336,39635100
2007-07-17,75.796669,77.223335,75.376663,76.690002,76.690002,22972200
2007-07-18,76.410004,77.000000,75.846664,76.809998,76.809998,21764400
2007-07-19,77.736664,78.660004,77.383331,78.116669,78.116669,20844000
2007-07-20,78.000000,78.000000,76.036667,76.839996,76.839996,21973500
2007-07-23,77.226669,77.396667,75.463333,76.576668,76.576668,16873500
2007-07-24,75.683334,75.696663,73.106667,73.666664,73.666664,24661200
2007-07-25,74.443336,75.303337,73.166664,75.120003,75.120003,20714700
2007-07-26,73.833336,76.166664,73.403336,74.546669,74.546669,26360400
2007-07-27,74.596664,75.180000,71.830002,71.889999,71.889999,23805900
2007-07-30,72.546669,73.803337,71.336670,73.370003,73.370003,17985300
2007-07-31,74.750000,74.769997,71.183334,71.333336,71.333336,19610400
2007-08-01,71.293335,72.599998,69.833336,71.803337,71.803337,17305800
2007-08-02,72.616669,74.736664,72.333336,74.690002,74.690002,20459700
2007-08-03,74.246666,75.996666,72.833336,72.833336,72.833336,20158500
2007-08-06,73.416664,73.823334,71.166664,72.769997,72.769997,17253300
2007-08-07,72.666664,74.650002,72.493332,74.073334,74.073334,14856300
2007-08-08,75.176666,76.139999,74.269997,75.336670,75.336670,16835400
2007-08-09,74.099998,75.643333,71.849998,72.000000,72.000000,21078900
2007-08-10,70.326668,71.660004,68.349998,69.000000,69.000000,31497600
2007-08-13,71.000000,71.830002,69.883331,70.603333,70.603333,22469700
2007-08-14,71.220001,71.250000,68.250000,68.666664,68.666664,20245500
2007-08-15,68.666664,69.580002,65.333336,65.916664,65.916664,25862100
2007-08-16,64.680000,67.309998,61.540001,66.006668,66.006668,38329500
2007-08-17,69.059998,73.573334,67.913330,73.506668,73.506668,45128100
2007-08-20,74.883331,78.886665,74.166664,78.663330,78.663330,51295500
2007-08-21,78.459999,83.330002,77.400002,81.919998,81.919998,36639400
2007-08-22,83.959999,84.099998,80.879997,81.809998,81.809998,24993900
2007-08-23,82.120003,82.120003,79.669998,80.459999,80.459999,12546200
2007-08-24,79.550003,81.980003,78.839996,81.860001,81.860001,13083200
2007-08-27,81.750000,81.989998,80.570000,81.110001,81.110001,5866700
2007-08-28,80.389999,80.400002,77.040001,77.199997,77.199997,12575600
2007-08-29,78.709999,82.050003,78.709999,81.820000,81.820000,11976200
2007-08-30,80.919998,85.000000,80.000000,82.870003,82.870003,22254000
2007-08-31,85.180000,85.870003,84.050003,85.410004,85.410004,13260700
2007-09-04,84.519997,85.879997,83.980003,85.339996,85.339996,14428500
2007-09-05,84.459999,85.089996,81.629997,83.260002,83.260002,13252900
2007-09-06,84.239998,84.309998,82.360001,83.699997,83.699997,7630100
2007-09-07,82.099998,82.410004,80.139999,80.480003,80.480003,13061500
2007-09-10,82.129997,83.160004,80.250000,82.269997,82.269997,11675900
2007-09-11,83.449997,84.089996,82.389999,83.019997,83.019997,8966200
2007-09-12,83.750000,86.449997,83.500000,85.449997,85.449997,18007500
2007-09-13,86.790001,88.230003,84.769997,85.739998,85.739998,16945900
2007-09-14,86.699997,87.989998,86.260002,87.260002,87.260002,16846700
2007-09-17,87.269997,88.199997,85.419998,86.269997,86.269997,10497100
2007-09-18,86.949997,91.199997,86.269997,90.349998,90.349998,17070000
2007-09-19,92.180000,93.239998,91.180000,91.800003,91.800003,15064300
2007-09-20,91.860001,92.419998,89.650002,90.230003,90.230003,12329900
2007-09-21,91.430000,93.349998,91.260002,93.180000,93.180000,15874800
2007-09-24,94.540001,96.349998,94.000000,94.500000,94.500000,14218100
2007-09-25,93.779999,96.849998,93.199997,96.820000,96.820000,14461600
2007-09-26,99.750000,100.750000,97.949997,99.000000,99.000000,21996400
2007-09-27,100.889999,100.980003,99.120003,99.860001,99.860001,13652700
2007-09-28,99.470001,99.730003,96.849998,98.550003,98.550003,15335300
2007-10-01,98.019997,100.010002,96.510002,98.660004,98.660004,18371200
2007-10-02,97.910004,98.150002,95.019997,96.260002,96.260002,18224600
2007-10-03,96.199997,98.599998,95.379997,96.279999,96.279999,18568500
2007-10-04,98.459999,100.790001,96.769997,100.540001,100.540001,40064800
2007-10-05,107.660004,114.760002,107.480003,113.370003,113.370003,65295300
2007-10-08,118.169998,118.769997,114.510002,117.650002,117.650002,31818300
2007-10-09,118.589996,118.800003,114.260002,115.519997,115.519997,23603700
2007-10-10,115.589996,117.779999,113.750000,116.879997,116.879997,22222200
2007-10-11,118.519997,118.739998,105.019997,111.000000,111.000000,37802000
2007-10-12,111.459999,114.089996,109.870003,113.910004,113.910004,20487700
2007-10-15,114.220001,114.900002,108.220001,109.709999,109.709999,20856500
2007-10-16,107.230003,110.900002,106.639999,110.089996,110.089996,17323800
